target_x,target_y,l_rel_x,l_rel_y,r_rel_x,r_rel_y,pitch,yaw,roll,eye_aspect_ratio
0.05,0.05,-0.4150620906896631,-0.08547644650206851,0.6008580054620888,-0.0878608325307772,5.216111177086162,21.054547648783398,2.7113954992057954,0.3786639483888784
0.05,0.05,-0.41052846539048904,-0.08069796143055014,0.6083986092257422,-0.0990317241302311,6.055701889617751,21.30404098791197,3.075252247518679,0.3665279829348511
0.05,0.05,-0.4052011345872267,-0.09065380235264159,0.5683140308167597,-0.07620534477602904,3.9493076019874422,21.535478120170144,2.74676859900647,0.362887315205088
0.05,0.05,-0.41106169752918437,-0.09530451973334222,0.59518270753068,-0.0944487659348604,5.261769726570776,21.803656391160267,3.245235360822182,0.36973959706038745
0.05,0.05,-0.41688619767439744,-0.11881527899402305,0.6011034666947533,-0.057829027549991724,3.810719055034042,22.227112608361026,2.9230734748406553,0.3675861272529207
0.05,0.05,-0.4164856930194334,-0.1181724875601268,0.609941705354122,-0.06080170391200892,4.486457522163306,22.54337457140673,3.1023998485717494,0.36417487977283647
0.05,0.05,-0.4125885192071844,-0.10320017838710721,0.6229885424672876,-0.06764445004030901,4.799385552704734,22.98251706723692,2.9498699798336427,0.37102213524723904
0.05,0.05,-0.412085869407093,-0.11571994561771842,0.601588883972826,-0.0696450540362432,4.831425507782683,23.439558511191528,2.904278630637878,0.3685546437867264
0.05,0.05,-0.4157152193134202,-0.11989243473501345,0.598910259715705,-0.06121624641193558,4.910140926384798,23.879462225359514,2.8965608266692437,0.3762438314605744
0.05,0.05,-0.40762587977533443,-0.10926250920535358,0.602755022364246,-0.06615303372916469,5.244539080819578,24.284350096057906,3.190902290755056,0.38151930722073063
0.05,0.05,-0.3942171893189888,-0.13202551647878433,0.6085841947714654,-0.09082226103795,5.734740509042211,24.579223603890817,2.8535266415828535,0.36425130786733284
0.05,0.05,-0.40216538550451336,-0.11222061230024882,0.6255800849691148,-0.09578588777992597,5.434910302490778,24.909049704502877,2.7297119320680667,0.36621434978690637
0.05,0.05,-0.4074862880519302,-0.13027740860400414,0.6185362892598861,-0.09328085203146214,6.619183524045695,25.13632040615468,2.806095458349405,0.3814072924196882
0.05,0.05,-0.403372904951385,-0.09125861861071832,0.6214590468450688,-0.07509469147268823,7.382240122577372,25.071644877095192,2.6734827390503537,0.3698893641739823
